Problem Number,Directions,Problem,Solution,Alternate Solution,Common Core Category
331,Rewrite each problem in scientific notation.,"44,959,177",4.4959177 * 10^7,,Expressions and Equations
332,Rewrite each problem in scientific notation.,"3,142.64",3.14263545 * 10^3,,Expressions and Equations
333,Rewrite each problem in scientific notation.,738,7.38 * 10^2,,Expressions and Equations
334,Rewrite each problem in scientific notation.,"6,449.24",6.44924043 * 10^3,,Expressions and Equations
335,Solve for y in the linear equation with variables on both sides.,-9y + 4 - 7 = 3 + 8y - 57,y = 3,3,Expressions and Equations
336,Solve for y in the linear equation with variables on both sides.,7y + 3 * 8 = 2y + (4 * 9) + 3,y = 3,3,Expressions and Equations
337,Solve for y in the linear equation with variables on both sides.,-(3y * 9) * 7 = -2y * 5 - 1253,y = 7,7,Expressions and Equations
338,Solve for y in the linear equation with variables on both sides.,(2y - 3 * 3) = -(8 + 9y - 8) + 68,y = 7,7,Expressions and Equations
339,Solve for y in the linear equation with variables on both sides.,8 - (9 - 3y) = -6 + 8 + 4y - 11,y = 8,8,Expressions and Equations
340,Solve for y in the linear equation with variables on both sides.,4y - 8 * 8 = 9y + (8 * 8) - 148,y = 4,4,Expressions and Equations
341,Solve for y in the linear equation with variables on both sides.,(4y * 5) = -3 + 4 * 5y + 3,y = 8,8,Expressions and Equations
342,Find the point of intersection of the two equations.,y = 1.5x + 2 ; y = 5.5x - 6,"(2 , 5)",,Expressions and Equations
343,Find the point of intersection of the two equations.,y = 0.7x - 2 ; y = 0.6x - 3,"(-10 , -9)",,Expressions and Equations
344,Find the point of intersection of the two equations.,y = -0.5x - 4 ; y = -0.6x - 3,"(10 , -9)",,Expressions and Equations
345,Find the point of intersection of the two equations.,y = -4.5x - 9 ; y = -3.25x - 4,"(-4 , 9)",,Expressions and Equations
346,Find the point of intersection of the two equations.,y = -0.5x - 5 ; y = 0.9x + 9,"(-10 , 0)",,Expressions and Equations
347,Find the point of intersection of the two equations.,y = 0.1x - 1 ; y = -0.5x + 5,"(10 , 0)",,Expressions and Equations
348,Find the point of intersection of the two equations.,y = 0.1x + 9 ; y = -0.2x + 6,"(-10 , 8)",,Expressions and Equations
349,Find the point of intersection of the two equations.,y = 0.5x - 5 ; y = 0.75x - 7,"(8 , -1)",,Expressions and Equations
350,Find the point of intersection of the two equations.,y = -0.5x + 2 ; y = 2.25x - 9,"(4 , 0)",,Expressions and Equations
351,Find the point of intersection of the two equations.,y = 4.25x - 9 ; y = 3.25x - 5,"(4 , 8)",,Expressions and Equations
352,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y - 7 = x,yes,,Functions
353,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y^8 = 2 * x,no,,Functions
354,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",x + 8 = y^2,no,,Functions
355,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y - 8 = x - 9,no,,Functions
356,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",x / 7 = y^8,no,,Functions
357,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",x - 9 = y^8,no,,Functions
358,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",x = 8 + y,yes,,Functions
359,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y = x^7,yes,,Functions
360,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",x = 6 / y,yes,,Functions
361,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y^9 = x^4,yes,,Functions
362,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y = x + 4,yes,,Functions
363,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y = x - 2,yes,,Functions
364,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y^(-8) + 7 = x,no,,Functions
365,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y * 8 = x,yes,,Functions
366,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y + 2 = x,yes,,Functions
367,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y(-8) = 8x,no,,Functions
368,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y = 9 - x,yes,,Functions
369,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y^4 = 2 - x,no,,Functions
370,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",y^2 + x = 6,no,,Functions
371,"Determine if each equation describes a function (yes) or not (no). In the equation, x represents the input and y represents the output.",x * 5 = y^6,no,,Functions
372,Identify the rate of change for each description.,"The Y Intercept is 6. While X increases by 6, Y decreases by 2.",-2/6,,Functions
373,Identify the rate of change for each description.,"The Y Intercept is 9. While X decreases by 10, Y increases by 6.",6/-10,,Functions
374,Identify the rate of change for each description.,"The Y Intercept is -9. While X increases by 10, Y increases by 2.",2/10,,Functions
375,Identify the rate of change for each description.,"The Y Intercept is -3. While X decreases by 10, Y increases by 8.",8/-10,,Functions
376,Identify the rate of change for each description.,"The Y Intercept is 6. While X decreases by 8, Y decreases by 1.",-1/-8,1/8,Functions
377,Identify the rate of change for each description.,"The Y Intercept is 0. While X increases by 10, Y increases by 9.",9/10,,Functions
378,Identify the rate of change for each description.,"The Y Intercept is 10. While X decreases by 9, Y increases by 3.",3/-9,,Functions
379,Identify the rate of change for each description.,"The Y Intercept is -8. While X increases by 4, Y decreases by 4.",-1,,Functions
380,Identify the rate of change for each description.,"The Y Intercept is -4. While X increases by 6, Y increases by 5.",5/6,,Functions
381,Identify the rate of change for each description.,"The Y Intercept is -1. While X increases by 6, Y increases by 2.",2/6,,Functions
382,Identify the rate of change for each description.,"The Y Intercept is 6. While X decreases by 9, Y increases by 7.",7/-9,,Functions
383,Identify the rate of change for each description.,"The Y Intercept is 7. While X decreases by 3, Y decreases by 2.",-2/-3,2/3,Functions
384,Identify the rate of change for each description.,"The Y Intercept is 2. While X decreases by 1, Y increases by 5.",-5,,Functions
385,Identify the rate of change for each description.,"The Y Intercept is 8. While X decreases by 3, Y increases by 7.",7/-3,,Functions
386,Identify the rate of change for each description.,"The Y Intercept is 1. While X increases by 1, Y decreases by 3.",-3,,Functions
387,Identify the rate of change for each description.,"The Y Intercept is -8. While X decreases by 8, Y decreases by 9.",-9/-8,9/8,Functions
388,Identify the rate of change for each description.,"The Y Intercept is 5. While X increases by 5, Y increases by 3.",3/5,,Functions
389,Identify the rate of change for each description.,"The Y Intercept is 7. While X increases by 1, Y increases by 8.",8,,Functions
390,Identify the rate of change for each description.,"The Y Intercept is 7. While X increases by 1, Y decreases by 8.",-8,,Functions
391,Identify the rate of change for each description.,"The Y Intercept is -5. While X decreases by 6, Y decreases by 9.",-9/-6,9/6,Functions
392,Identify the rate of change for each equation.,Y = 9*X + (X*-1),8,,Functions
393,Identify the rate of change for each equation.,Y = X - 8,1,,Functions
394,Identify the rate of change for each equation.,Y = X*3,3,,Functions
395,Identify the rate of change for each equation.,Y = 2*X - (X + 2),1,,Functions
396,Identify the rate of change for each equation.,Y = X + 3,1,,Functions
397,Identify the rate of change for each equation.,Y = 7*X,7,,Functions
398,Identify the rate of change for each equation.,Y = -X,-1,,Functions
399,Identify the rate of change for each equation.,Y = 4*X - (X - 8),3,,Functions
400,Identify the rate of change for each equation.,Y = 8*X*8,64,,Functions
401,Identify the rate of change for each equation.,Y = 5*X + 8,5,,Functions
402,Identify the rate of change from each equation in slope-intercept form.,Y = (-2/6)*X + 6,-2/6,,Functions
403,Identify the rate of change from each equation in slope-intercept form.,Y = (6/-10)*X + 9,6/-10,,Functions
404,Identify the rate of change from each equation in slope-intercept form.,Y = (2/10)*X - 9,2/10,,Functions
405,Identify the rate of change from each equation in slope-intercept form.,Y = (8/-10)*X - 3,8/-10,,Functions
406,Identify the rate of change from each equation in slope-intercept form.,Y = (-1/-8)*X + 6,-1/-8,1/8,Functions
407,Identify the rate of change from each equation in slope-intercept form.,Y = (9/10)*X + 0,9/10,,Functions
408,Identify the rate of change from each equation in slope-intercept form.,Y = (3/-9)*X + 10,3/-9,,Functions
409,Identify the rate of change from each equation in slope-intercept form.,Y = -1*X - 8,-1,,Functions
410,Identify the rate of change from each equation in slope-intercept form.,Y = (5/6)*X - 4,5/6,,Functions
411,Identify the rate of change from each equation in slope-intercept form.,Y = (2/6)*X - 1,2/6,,Functions
412,Identify the Y-intercept for each equation.,Y = 3*X*(X + 3),0,,Functions
413,Identify the Y-intercept for each equation.,Y = 7*X - (X - 3),3,,Functions
414,Identify the Y-intercept for each equation.,Y = 3*X*(X - 3),0,,Functions
415,Identify the Y-intercept for each equation.,Y = X + (2*-1),-2,,Functions
416,Identify the Y-intercept for each equation.,Y = X + 3,3,,Functions
417,Identify the Y-intercept for each equation.,Y = 4*X*(X*7),0,,Functions
418,Identify the Y-intercept for each equation.,Y = 4*X - (X*5),0,,Functions
419,Identify the Y-intercept for each equation.,Y = 4*X + (X*-1),0,,Functions
420,Identify the Y-intercept for each equation.,Y = X*5,0,,Functions
421,Identify the Y-intercept for each equation.,Y = 5*X + (X - 8),-8,,Functions
422,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 9),no,nonlinear,Functions
423,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 7),no,nonlinear,Functions
424,Determine if the equation shown represents a linear function (yes) or not (no).,Y = 5*X - (X*-1),yes,linear,Functions
425,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 2),no,nonlinear,Functions
426,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 3),no,nonlinear,Functions
427,Determine if the equation shown represents a linear function (yes) or not (no).,Y = -X - 4,yes,linear,Functions
428,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 4),no,nonlinear,Functions
429,Determine if the equation shown represents a linear function (yes) or not (no).,Y = 5 * X + 5^2,yes,linear,Functions
430,Determine if the equation shown represents a linear function (yes) or not (no).,Y = (X/8)*5,yes,linear,Functions
431,Determine if the equation shown represents a linear function (yes) or not (no).,Y = 7*X - (X + 5),yes,linear,Functions
432,Determine if the equation shown represents a linear function (yes) or not (no).,Y = X + 6,yes,linear,Functions
433,Determine if the equation shown represents a linear function (yes) or not (no).,Y = -X + 4,yes,linear,Functions
434,Determine if the equation shown represents a linear function (yes) or not (no).,Y = -X,yes,linear,Functions
435,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 7),no,nonlinear,Functions
436,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 8),no,nonlinear,Functions
437,Determine if the equation shown represents a linear function (yes) or not (no).,Y = 5 + X,yes,linear,Functions
438,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 6),no,nonlinear,Functions
439,Determine if the equation shown represents a linear function (yes) or not (no).,Y = SQRT(X^2 - 5),no,nonlinear,Functions
440,Find the distance between the two points. Round to the nearest hundredth.,"(-1, 2) and (5, 7)",7.81,,Geometry
441,Find the distance between the two points. Round to the nearest hundredth.,"(0, 0) and (2, 8)",8.25,,Geometry
442,Find the distance between the two points. Round to the nearest hundredth.,"(6, 3) and (-4, -3)",11.67,,Geometry
443,Find the distance between the two points. Round to the nearest hundredth.,"(5, 6) and (-9, 1)",14.87,,Geometry
444,Find the distance between the two points. Round to the nearest hundredth.,"(4, 8) and (-5, -6)",16.64,,Geometry
445,Find the distance between the two points. Round to the nearest hundredth.,"(4, -1) and (4, -8)",7,,Geometry
446,Find the distance between the two points. Round to the nearest hundredth.,"(4, 8) and (6, 4)",4.47,,Geometry
447,Find the distance between the two points. Round to the nearest hundredth.,"(8, 4) and (-3, 3)",11.05,,Geometry
448,Find the distance between the two points. Round to the nearest hundredth.,"(6, 8) and (-5, 4)",11.7,,Geometry
449,Find the distance between the two points. Round to the nearest hundredth.,"(9, -2) and (-4, 6)",15.26,,Geometry
450,Find the distance between the two points. Round to the nearest hundredth.,"(-4, 5) and (4, 8)",8.54,,Geometry
451,Find the distance between the two points. Round to the nearest hundredth.,"(-2, 14) and (5, 9)",8.6,,Geometry
452,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-10, 7) and (-2, 5)","(-6, 6)",,Geometry
453,Find the coordinates of the midpoint of the line segment that connects the given points.,"(0, 0) and (9, 7)","(4.5, 3.5)",,Geometry
454,Find the coordinates of the midpoint of the line segment that connects the given points.,"(4, 3) and (-2, -8)","(1, -2.5)",,Geometry
455,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-1, 7) and (19, 1)","(9, 4)",,Geometry
456,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-6, 8) and (5, -6)","(-0.5, 1)",,Geometry
457,Find the coordinates of the midpoint of the line segment that connects the given points.,"(4, -11) and (12, -8)","(8, -9.5)",,Geometry
458,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-2, 8) and (8, -1)","(3, 3.5)",,Geometry
459,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-4, -5) and (8, 3)","(2, -1)",,Geometry
460,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-8, 4) and (-6, 12)","(-7, 8)",,Geometry
461,Find the coordinates of the midpoint of the line segment that connects the given points.,"(9, 12) and (-5, 2)","(2, 7)",,Geometry
462,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-9, 5) and (3, 1)","(-3, 3)",,Geometry
463,Find the coordinates of the midpoint of the line segment that connects the given points.,"(-5, 4) and (11, 5)","(3, 4.5)",,Geometry
464,Find the perimeter of the shape with the given side lengths.,Square with sides of length 3.,12,,Geometry
465,Find the perimeter of the rectangle with given side lengths.,"Triangle with sides of length 5, 5, and 5.",15,,Geometry
466,Find the perimeter of the triangle with given side lengths.,Rectangle with sides of length 4 and 5.,18,,Geometry
467,Find the perimeter of the square with given side length.,"Triangle with sides of length 10, 10, and 4.",24,,Geometry
468,Find the perimeter of the rectangle with given side lengths.,Square with sides of length 7.,28,,Geometry
469,Find the perimeter of the triangle with given side lengths.,Rectangle with sides of length 3 and 10.,26,,Geometry
470,Find the perimeter of the square with given side length.,"Triangle with sides of length 12, 12, and 12.",36,,Geometry
471,Find the perimeter of the rectangle with given side lengths.,Rectangle with sides of length 5 and 20.,50,,Geometry
472,Find the perimeter of the triangle with given side lengths.,"Triangle with sides of length 11, 11, 9.",31,,Geometry
473,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","a= 12, b = 16, find c.",c = 20,20,Geometry
474,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","b = 10, c = 11, find a.",a = SQRT(21),SQRT(21),Geometry
475,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","12, b = 35, find c.",c = 37,37,Geometry
476,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","11, b = 14, find c.",c = SQRT(317),SQRT(317),Geometry
477,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","b = 40, c = 41, find a.",a = 9,9,Geometry
478,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","6, c = 15, find b.",b = SQRT(189),SQRT(189),Geometry
479,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","15, b = 24, find c.",c = SQRT(801),SQRT(801),Geometry
480,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","9, b = 12, find c.",c = 15,15,Geometry
481,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","5, b = 9, find c.",c = SQRT(106),SQRT(106),Geometry
482,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","4, c = 21, find b.",b = SQRT(425),SQRT(425),Geometry
483,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","10, b = 14, find c.",c = SQRT(296),SQRT(296),Geometry
484,"Use the Pythagorean Theorem to find the missing side length in the right triangle. Leg 1 is represented by a, leg 2 is represented by b, and the hypotenuse is represented with c.","12, b = 16, find c.",c = 20,20,Geometry
485,"Find the area of the parallelogram using the given base, height, and slanted side length.","Base = 11, height = 8, slanted side = 9.7",88,,Geometry
486,"Find the area of the parallelogram using the given base, height, and slanted side length.","Base = 14, height = 9, slanted side = 16",126,,Geometry
487,"Find the area of the parallelogram using the given base, height, and slanted side length.","Base = 35, height = 10, slanted side = 22",350,,Geometry
488,"Find the area of the parallelogram using the given base, height, and slanted side length.","Base = 8, height = 10, slanted side = 12",80,,Geometry
489,"Find the area of the parallelogram using the given base, height, and slanted side length.","Base = 7.75, height = 5, slanted side = 4.5",38.75,,Geometry
490,"Find the area of the parallelogram using the given base, height, and slanted side length.","Base = 38, height = 13.5, slanted side = 14.8",513,,Geometry
491,Find the area of the right triangle using the given base and height.,"Base = 8, height = 6",24,,Geometry
492,Find the area of the right triangle using the given base and height.,"Base = 3, height = 4",6,,Geometry
493,Find the area of the right triangle using the given base and height.,"Base = 12, height = 5",30,,Geometry
494,Find the area of the right triangle using the given base and height.,"Base = 10, height = 11",55,,Geometry
495,Find the area of the right triangle using the given base and height.,"Base = 5, height = 11",27.5,,Geometry
496,Find the area of the right triangle using the given base and height.,"Base = 8, height = 15",60,,Geometry
497,Find the area of the trapezoid using the given lengths and height. ,"Base 1 = 14, base 2 = 10, height = 8",96,,Geometry
498,Find the area of the trapezoid using the given base lengths and height.,"Base 1 = 23, base 2 = 11, height = 9",153,,Geometry
499,Find the area of the trapezoid using the given base lengths and height.,"Base 1 = 15, base 2 = 20, height = 10",175,,Geometry
500,Find the area of the trapezoid using the given base lengths and height.,"Base 1 = 13, base 2 = 7, height = 5.5",55,,Geometry
501,Find the area of the trapezoid using the given base lengths and height.,"Base 1 = 14, base 2 = 7, height = 11",115.5,,Geometry
502,Find the area of the trapezoid using the given base lengths and height.,"Base 1 = 33, base 2 = 13, height = 7",161,,Geometry
503,Find the area of the triangle using the given base and height.,"Base = 6, height = 4",12,,Geometry
504,Find the area of the triangle using the given base and height.,"Base = 18, height = 24",216,,Geometry
505,Find the area of the triangle using the given base and height.,"Base = 57, height = 24",684,,Geometry
506,Find the area of the triangle using the given base and height.,"Base = 10, height = 12",60,,Geometry
507,Find the area of the triangle using the given base and height.,"Base = 15, height = 6",45,,Geometry
508,Find the area of the triangle using the given base and height.,"Base = 5, height = 4.3",10.75,,Geometry
509,Find the area of the circle with the given radius or diameter. Round to the nearest hundredth.,Diameter = 4,12.57,,Geometry
510,Find the area of the circle. Round to the nearest hundredth.,Radius = 7,153.94,,Geometry
511,Find the area of the circle. Round to the nearest hundredth.,Diameter = 8,50.27,,Geometry
512,Find the area of the circle. Round to the nearest hundredth.,Radius = 16,804.25,,Geometry
513,Find the area of the circle. Round to the nearest hundredth.,Diameter = 20,314.16,,Geometry
514,Find the area of the circle. Round to the nearest hundredth.,Radius = 5,78.54,,Geometry
515,Find the area of the circle. Round to the nearest hundredth.,Diameter = 7,38.48,,Geometry
516,Find the area of the circle. Round to the nearest hundredth.,Radius = 17,907.92,,Geometry
517,Find the area of the circle. Round to the nearest hundredth.,Diameter = 24,452.39,,Geometry
518,Find the circumference of the circle. Round to the nearest hundredth.,Circle with diameter = 3,9.42,,Geometry
519,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with radius = 12,75.4,,Geometry
520,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with diameter = 25,78.54,,Geometry
521,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with radius = 8,50.27,,Geometry
522,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with diameter = 8,25.13,,Geometry
523,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with radius = 10,62.83,,Geometry
524,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with diameter = 16,50.27,,Geometry
525,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with radius = 3,18.85,,Geometry
526,Find the circumference of the circle. Round to the nearest hundredth. Use C = 2*π*r.,Circle with diameter = 25,6.28,,Geometry
527,"Find the volume of the rectangular prism using the given length, width, and height.","Length = 4, Width = 3, Height = 2",24,,Geometry
528,"Find the volume of the rectangular prism using the given length, width, and height.","Length = 6, Width = 3, Height = 4",72,,Geometry
529,"Find the volume of the rectangular prism using the given length, width, and height.","Length = 12, Width = 4, Height = 2",96,,Geometry
530,"Find the volume of the rectangular prism using the given length, width, and height.","Length = 10, Width = 5, Height = 3",150,,Geometry
531,"Find the volume of the rectangular prism using the given length, width, and height.","Length = 6, Width = 8, Height = 10",480,,Geometry
532,"Find the volume of the rectangular prism using the given length, width, and height.","Length = 14, Width = 7, Height = 6",588,,Geometry
533,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 4, Height = 8",134,,Geometry
534,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 3, Height = 11",103.4,,Geometry
535,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 5, Height = 14",366.5,,Geometry
536,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 9, Height = 21",1781.3,,Geometry
537,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 3.1, Height = 10",100.6,,Geometry
538,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 6.25, Height = 18.5",756.8,,Geometry
539,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 7.2, Height = 27",1465.7,,Geometry
540,Find the volume of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 21.7, Height = 44.9",22140.9,,Geometry
541,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 4, Height = 6",301.6,,Geometry
542,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 7, Height = 8",1231.5,,Geometry
543,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 3, Height = 12",339.3,,Geometry
544,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 14, Height = 8",4926,,Geometry
545,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 4.8, Height = 7.3",528.4,,Geometry
546,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 1.5, Height = 8.6",60.8,,Geometry
547,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 5.75, Height = 11.3",1173.7,,Geometry
548,Find the volume of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 33.1, Height = 28.4",97751.7,,Geometry
549,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 2,33.51,,Geometry
550,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 10,4188.79,,Geometry
551,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 7,1436.76,,Geometry
552,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 2.5,65.45,,Geometry
553,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 12,7238.23,,Geometry
554,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 0.25,0.07,,Geometry
555,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 15,14137.17,,Geometry
556,Find the volume of the sphere using the given radius. Round to the nearest hundredth.,Radius = 3.1,124.79,,Geometry
557,"Find the surface area of the rectangular prism using the given length, width, and height.","Length = 10, Width = 6, Height = 7",344,,Geometry
558,"Find the surface area of the rectangular prism using the given length, width, and height.","Length = 16, Width = 7, Height = 9",638,,Geometry
559,"Find the surface area of the rectangular prism using the given length, width, and height.","Length = 10, Width = 8, Height = 10",520,,Geometry
560,"Find the surface area of the rectangular prism using the given length, width, and height.","Length = 9, Width = 7, Height = 14",574,,Geometry
561,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 3, Height = 7",100.1,,Geometry
562,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 6, Height = 8",301.6,,Geometry
563,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 10, Height = 14",854.7,,Geometry
564,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 12, Height = 17",1236.9,,Geometry
565,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 6.5, Height = 18.5",532.2,,Geometry
566,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 5.7, Height = 15",389.4,,Geometry
567,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 1.3, Height = 5.2",27.2,,Geometry
568,Find the surface area of the cone using the given radius and height. Round to the nearest tenth.,"Radius = 11.7, Height = 24",1411.5,,Geometry
569,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 4, Height = 7",276.5,,Geometry
570,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 6, Height = 11",640.9,,Geometry
571,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 9, Height = 10",1074.4,,Geometry
572,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 12, Height = 8",4825.5,,Geometry
573,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 7.2, Height = 8.2",696.7,,Geometry
574,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 7.3, Height = 19",1206.3,,Geometry
575,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 9.25, Height = 21",4591.4,,Geometry
576,Find the surface area of the cylinder using the given radius and height. Round to the nearest tenth.,"Radius = 23.63, Height = 33.3",8452.5,,Geometry
577,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Radius = 3,113.1,,Geometry
578,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Radius = 10,1256.6,,Geometry
579,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Diameter = 18,1017.9,,Geometry
580,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Radius = 6.5,530.9,,Geometry
581,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Diameter = 42,5541.8,,Geometry
582,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Radius = 2.3,66.5,,Geometry
583,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Diameter = 27,2290.2,,Geometry
584,Find the surface area of the sphere using the given radius or diameter. Round to the nearest tenth.,Diameter = 34.8,3804.6,,Geometry
585,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a 6?,1/6,,Statistics and Probability
586,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a number smaller than 3?,1/3,2/6,Statistics and Probability
